protein	acc	hit	species	domain	phylum	category	length	score	align_length	num_prots	prot_ids	protein_locs
ACL49535.1	GCA_000022125.1_ASM2212v1	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	Bacteria	Proteobacteria	COG0085	PRIMARY	1378	2095.3	1061	1	ACL49535.1	599.5
AGP91403.1	GCA_000439535.1_ASM43953v1	Alteromonas mediterranea U7	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2122.4	1054	1	AGP91403.1	590.0
KKG41343.1	GCA_000978935.1_gtlEnvA5udCFS	Methanosarcina mazei	Archaea	Euryarchaeota	COG0085	SECO	531	307.1	429	1	1	1
KKG41342.1	GCA_000978935.1_gtlEnvA5udCFS	Methanosarcina mazei	Archaea	Euryarchaeota	COG0085	MAIN	604	667.9	1033	2	KKG41343.1;KKG41342.1	300.5;830.5
KXS46620.1	GCA_001577555.1_ASM157755v1	Methanohalophilus sp. T328-1	Archaea	Euryarchaeota	COG0085	SECO	546	320.9	432	1	1	1
KXS46621.1	GCA_001577555.1_ASM157755v1	Methanohalophilus sp. T328-1	Archaea	Euryarchaeota	COG0085	MAIN	604	672.2	1036	2	KXS46620.1;KXS46621.1	299.0;845.5
ASY68509.1	GCA_002288485.1_ASM228848v1	Sinorhizobium fredii CCBAU 83666	Bacteria	Proteobacteria	COG0085	PRIMARY	1339	2129.7	1024	1	ASY68509.1	610.0
DACE01000008.1_24	GCA_002494645.1_ASM249464v1	Euryarchaeota archaeon UBA256	Archaea	Euryarchaeota	COG0085	PRIMARY	1206	884.4	1044	1	DACE01000008.1_24	598.0
SMX53581.1	GCA_900184705.1_CAMBI-1	Brevefilum fermentans	Bacteria	Terrabacteria group	COG0085	PRIMARY	1304	1836.3	1064	1	SMX53581.1	602.0
EFW91988.1	GCA_000187225.2_ASM18722v1	Haladaptatus paucihalophilus DX253	Archaea	Euryarchaeota	COG0085	MAIN	608	644.4	1051	2	EFW91989.1;EFW91988.1	291.5;817.5
EFW91989.1	GCA_000187225.2_ASM18722v1	Haladaptatus paucihalophilus DX253	Archaea	Euryarchaeota	COG0085	SECO	518	297.9	447	1	1	1
KKR24237.1	GCA_000995285.1_ASM99528v1	Candidatus Daviesbacteria bacterium GW2011_GWB1_39_5	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1132	1752.5	1102	1	KKR24237.1	614.0
BAV91795.1	GCA_002355955.1_ASM235595v1	Candidatus Desulfovibrio trichonymphae	Bacteria	Proteobacteria	COG0085	PRIMARY	1378	2062.5	1065	1	BAV91795.1	601.5
EDK87732.1	GCA_000153625.1_ASM15362v1	Fusobacterium nucleatum subsp. polymorphum ATCC 10953	Bacteria	Fusobacteria	COG0085	PRIMARY	1184	1978.8	1067	1	EDK87732.1	600.5
OGL48990.1	GCA_001790855.1_ASM179085v1	Candidatus Schekmanbacteria bacterium RIFCSPLOWO2_02_FULL_38_14	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1497	2099.0	1053	1	OGL48990.1	591.5
ACV36759.1	GCA_000024165.1_ASM2416v1	Candidatus Accumulibacter phosphatis clade IIA str. UW-1	Bacteria	Proteobacteria	COG0085	PRIMARY	1427	2093.1	1053	1	ACV36759.1	589.5
ADI15584.1	GCA_000092425.1_ASM9242v1	Truepera radiovictrix DSM 17093	Bacteria	Terrabacteria group	COG0085	PRIMARY	1133	1887.3	1049	1	ADI15584.1	594.5
AHE72226.1	GCA_000512375.1_ASM51237v1	Enterobacter cloacae P101	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2147.6	1055	1	AHE72226.1	590.5
EHR78689.1	GCA_000246985.3_ASM24698v3	Thermococcus litoralis DSM 5473	Archaea	Euryarchaeota	COG0085	PRIMARY	1118	1068.7	1044	1	EHR78689.1	597.0
ERG95612.1	GCA_000415985.1_HQW2_08err_032412a	Haloquadratum walsbyi J07HQW2	Archaea	Euryarchaeota	COG0085	SECO	525	296.1	447	1	1	1
ERG95611.1	GCA_000415985.1_HQW2_08err_032412a	Haloquadratum walsbyi J07HQW2	Archaea	Euryarchaeota	COG0085	MAIN	611	665.2	1051	2	ERG95612.1;ERG95611.1	291.5;817.0
ARQ99457.1	GCA_002139915.1_ASM213991v1	Campylobacter sp. NCTC 13003	Bacteria	Proteobacteria	COG0085	PRIMARY	1379	2015.7	1061	1	ARQ99457.1	591.5
AMQ19434.1	GCA_001592435.1_ASM159243v1	Thermococcus peptonophilus	Archaea	Euryarchaeota	COG0085	PRIMARY	1123	1081.7	1042	1	AMQ19434.1	598.0
ANT64070.1	GCA_001687065.1_ASM168706v1	Prosthecochloris sp. CIB 2401	Bacteria	FCB group	COG0085	PRIMARY	1300	1968.1	1054	1	ANT64070.1	590.0
AKJ39737.1	GCA_001027005.1_ASM102700v1	Methanosarcina barkeri CM1	Archaea	Euryarchaeota	COG0085	MAIN	604	668.9	1033	2	AKJ39738.1;AKJ39737.1	300.5;830.5
AKJ39738.1	GCA_001027005.1_ASM102700v1	Methanosarcina barkeri CM1	Archaea	Euryarchaeota	COG0085	SECO	531	315.9	429	1	1	1
BAV58639.1	GCA_002355835.1_ASM235583v1	Candidatus Endomicrobium trichonymphae	Bacteria	Elusimicrobia	COG0085	PRIMARY	1257	1896.1	1060	1	BAV58639.1	599.0
OYT40671.1	GCA_002254495.1_ASM225449v1	Candidatus Pacearchaeota archaeon ex4484_26	Archaea	DPANN group	COG0085	PRIMARY	549	227.6	445	1	OYT40671.1	298.5
AQXH01000007.1_53	GCA_000375465.1_ASM37546v1	Balneola vulgaris DSM 17893	Bacteria	Balneolaeota	COG0085	PRIMARY	1272	1980.2	1049	1	AQXH01000007.1_53	590.5
KZX47046.1	GCA_001647155.1_ASM164715v1	Haloarcula sp. K1	Archaea	Euryarchaeota	COG0085	MAIN	608	665.8	1042	2	KZX47045.1;KZX47046.1	296.0;817.5
KZX47045.1	GCA_001647155.1_ASM164715v1	Haloarcula sp. K1	Archaea	Euryarchaeota	COG0085	SECO	521	291.6	438	1	1	1
KKW26697.1	GCA_001004445.1_ASM100444v1	candidate division Kazan bacterium GW2011_GWB1_52_7	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1145	1849.7	1053	1	KKW26697.1	593.5
OYT60966.1	GCA_002254745.1_ASM225474v1	Desulfurococcales archaeon ex4484_217_1	Archaea	TACK group	COG0085	PRIMARY	1118	1057.8	1048	1	OYT60966.1	595.0
ADP96137.1	GCA_000166295.1_ASM16629v1	Marinobacter adhaerens HP15	Bacteria	Proteobacteria	COG0085	PRIMARY	1361	2121.3	1058	1	ADP96137.1	588.0
ADO11590.1	GCA_000148935.1_ASM14893v1	Pantoea vagans C9-1	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2140.0	1055	1	ADO11590.1	590.5
DJJC01000037.1_20	GCA_002433955.1_ASM243395v1	Candidatus Falkowbacteria bacterium UBA6578	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1109	1885.3	1067	1	DJJC01000037.1_20	599.5
OYT42155.1	GCA_002254545.1_ASM225454v1	Candidatus Aenigmarchaeota archaeon ex4484_224	Archaea	DPANN group	COG0085	SECO	501	256.0	440	1	1	1
OYT42156.1	GCA_002254545.1_ASM225454v1	Candidatus Aenigmarchaeota archaeon ex4484_224	Archaea	DPANN group	COG0085	MAIN	599	588.3	1037	2	OYT42155.1;OYT42156.1	301.0;817.5
AWOH01000014.1_9	GCA_000494085.1_Nanoarchaeota_archaeon_OTU_2_combined_assembly	Nanoarchaeota archaeon JGI OTU-2	Archaea	DPANN group	COG0085	MAIN	601	517.6	1042	2	AWOH01000014.1_10;AWOH01000014.1_9	304.5;834.5
AWOH01000014.1_10	GCA_000494085.1_Nanoarchaeota_archaeon_OTU_2_combined_assembly	Nanoarchaeota archaeon JGI OTU-2	Archaea	DPANN group	COG0085	SECO	495	239.2	457	1	1	1
AKB53883.1	GCA_000970025.1_ASM97002v1	Methanosarcina barkeri MS	Archaea	Euryarchaeota	COG0085	SECO	531	308.6	429	1	1	1
AKB53884.1	GCA_000970025.1_ASM97002v1	Methanosarcina barkeri MS	Archaea	Euryarchaeota	COG0085	MAIN	604	668.9	1033	2	AKB53883.1;AKB53884.1	300.5;830.5
SCA83938.1	GCA_900093775.1_EVONIK_BGLY	Bacillus glycinifermentans	Bacteria	Terrabacteria group	COG0085	PRIMARY	1193	2219.2	1087	1	SCA83938.1	605.5
CAI48147.1	GCA_000026045.1_ASM2604v1	Natronomonas pharaonis DSM 2160	Archaea	Euryarchaeota	COG0085	MAIN	610	668.1	1052	2	CAI48146.1;CAI48147.1	291.0;817.5
CAI48146.1	GCA_000026045.1_ASM2604v1	Natronomonas pharaonis DSM 2160	Archaea	Euryarchaeota	COG0085	SECO	521	299.5	448	1	1	1
CCJ35104.1	GCA_000304355.2_Mb_MS2	Methanoculleus bourgensis MS2	Archaea	Euryarchaeota	COG0085	MAIN	604	677.2	1037	2	CCJ35103.1;CCJ35104.1	301.0;845.0
CCJ35103.1	GCA_000304355.2_Mb_MS2	Methanoculleus bourgensis MS2	Archaea	Euryarchaeota	COG0085	SECO	513	297.6	438	1	1	1
KKR31441.1	GCA_000995465.1_ASM99546v1	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1114	1718.0	1085	1	KKR31441.1	604.5
KKR32479.1	GCA_000995465.1_ASM99546v1	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	Bacteria	unclassified Bacteria	COG0085	NEXT	952	1438.3	939	1	1	1
KKR29927.1	GCA_000995465.1_ASM99546v1	Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8	Bacteria	unclassified Bacteria	COG0085	NEXT	487	388.1	280	1	1	1
AOW80708.1	GCA_001767315.1_ASM176731v1	Halodesulfurarchaeum formicicum	Archaea	Euryarchaeota	COG0085	MAIN	608	669.7	1050	2	AOW80709.1;AOW80708.1	292.0;817.5
AOW80709.1	GCA_001767315.1_ASM176731v1	Halodesulfurarchaeum formicicum	Archaea	Euryarchaeota	COG0085	SECO	520	296.6	446	1	1	1
AJQ90247.1	GCA_000940845.1_ASM94084v1	Propionibacterium freudenreichii subsp. freudenreichii	Bacteria	Terrabacteria group	COG0085	PRIMARY	1158	2064.0	1067	1	AJQ90247.1	597.5
OQD58152.1	GCA_002072215.1_ASM207221v1	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	Archaea	Euryarchaeota	COG0085	MAIN	603	696.5	1046	2	OQD58151.1;OQD58152.1	298.0;816.5
OQD58151.1	GCA_002072215.1_ASM207221v1	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	Archaea	Euryarchaeota	COG0085	SECO	513	310.8	448	1	1	1
CUT01730.1	GCA_001458535.1_JGI_assembly	Candidatus Kryptonium thompsoni	Bacteria	FCB group	COG0085	PRIMARY	1260	2056.7	1050	1	CUT01730.1	590.0
ATF26058.1	GCA_002381265.1_ASM238126v1	Brochothrix thermosphacta	Bacteria	Terrabacteria group	COG0085	PRIMARY	1186	2178.7	1080	1	ATF26058.1	601.0
LKMP01000009.1_31	GCA_001563915.1_ASM156391v1	Nanohaloarchaea archaeon B1-Br10_U2g21	Archaea	DPANN group	COG0085	SECO	486	265.1	443	1	1	1
LKMP01000009.1_32	GCA_001563915.1_ASM156391v1	Nanohaloarchaea archaeon B1-Br10_U2g21	Archaea	DPANN group	COG0085	MAIN	597	553.5	1041	2	LKMP01000009.1_31;LKMP01000009.1_32	298.5;820.5
CVUA01000001.1_591	GCA_001282785.1_halo7	Halolamina sediminis	Archaea	Euryarchaeota	COG0085	MAIN	611	656.7	1044	2	CVUA01000001.1_592;CVUA01000001.1_591	295.0;817.5
CVUA01000001.1_592	GCA_001282785.1_halo7	Halolamina sediminis	Archaea	Euryarchaeota	COG0085	SECO	523	295.7	440	1	1	1
ATH61039.1	GCA_002442895.1_ASM244289v1	Staphylococcus nepalensis	Bacteria	Terrabacteria group	COG0085	PRIMARY	1183	2187.8	1084	1	ATH61039.1	604.0
DIXL01000100.1_8	GCA_002428685.1_ASM242868v1	Cloacimonetes bacterium UBA6081	Bacteria	FCB group	COG0085	PRIMARY	1260	1844.3	1053	1	DIXL01000100.1_8	594.5
AIZ15039.1	GCA_000800455.1_ASM80045v1	Bifidobacterium kashiwanohense PV20-2	Bacteria	Terrabacteria group	COG0085	PRIMARY	1186	2007.7	1076	1	AIZ15039.1	594.0
ACL03618.1	GCA_000021905.1_ASM2190v1	Desulfatibacillum alkenivorans AK-01	Bacteria	Proteobacteria	COG0085	PRIMARY	1364	2091.9	1054	1	ACL03618.1	591.0
DADV01000022.1_13	GCA_002495105.1_ASM249510v1	Euryarchaeota archaeon UBA11	Archaea	Euryarchaeota	COG0085	PRIMARY	1206	880.7	1043	1	DADV01000022.1_13	597.5
ABJ90504.1	GCA_000090965.1_ASM9096v1	Buchnera aphidicola BCc	Bacteria	Proteobacteria	COG0085	PRIMARY	1343	2054.7	1054	1	ABJ90504.1	590.0
DAEE01000049.1_1	GCA_002495205.1_ASM249520v1	Thaumarchaeota archaeon UBA183	Archaea	TACK group	COG0085	PRIMARY	214	254.5	170	1	DAEE01000049.1_1	927.0
DAEE01000042.1_3	GCA_002495205.1_ASM249520v1	Thaumarchaeota archaeon UBA183	Archaea	TACK group	COG0085	NEXT	365	136.9	310	1	1	1
DAEE01000042.1_2	GCA_002495205.1_ASM249520v1	Thaumarchaeota archaeon UBA183	Archaea	TACK group	COG0085	NEXT	276	109.0	239	1	1	1
DAEE01000042.1_1	GCA_002495205.1_ASM249520v1	Thaumarchaeota archaeon UBA183	Archaea	TACK group	COG0085	NEXT	45	13.9	34	1	1	1
ADH97655.1	GCA_000093085.1_ASM9308v1	[Bacillus] selenitireducens MLS10	Bacteria	Terrabacteria group	COG0085	PRIMARY	1181	2199.9	1073	1	ADH97655.1	598.5
DFFK01000125.1_7	GCA_002368875.1_ASM236887v1	Elusimicrobia bacterium UBA3778	Bacteria	Elusimicrobia	COG0085	PRIMARY	1258	1890.8	1053	1	DFFK01000125.1_7	594.5
KYP94346.1	GCA_001602605.1_ASM160260v1	bacteria symbiont BFo2 of Frankliniella occidentalis	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1342	2134.6	1055	1	KYP94346.1	590.5
AKE28249.1	GCA_000978555.1_ASM97855v1	Thermotoga maritima MSB8	Bacteria	Thermotogae	COG0085	PRIMARY	1263	1847.8	1065	1	AKE28249.1	594.5
DKAG01000037.1_6	GCA_002450765.1_ASM245076v1	Gemmatimonadales bacterium UBA6932	Bacteria	FCB group	COG0085	PRIMARY	1066	1445.6	805	1	DKAG01000037.1_6	468.5
DKAG01000037.1_5	GCA_002450765.1_ASM245076v1	Gemmatimonadales bacterium UBA6932	Bacteria	FCB group	COG0085	NEXT	451	569.5	260	1	1	1
ELZ83820.1	GCA_000336775.1_ASM33677v1	Haloferax gibbonsii ATCC 33959	Archaea	Euryarchaeota	COG0085	SECO	521	294.6	447	1	1	1
ELZ83819.1	GCA_000336775.1_ASM33677v1	Haloferax gibbonsii ATCC 33959	Archaea	Euryarchaeota	COG0085	MAIN	609	662.1	1051	2	ELZ83820.1;ELZ83819.1	291.5;817.5
CRY91446.1	GCA_001182765.1_WH8103.1	Synechococcus sp. WH 8103	Bacteria	Terrabacteria group	COG0085	PRIMARY	1097	1959.6	1054	1	CRY91446.1	603.0
KKG10589.1	GCA_000978955.1_gtlEnvA5udCFS	Methanosarcina mazei	Archaea	Euryarchaeota	COG0085	MAIN	604	667.9	1033	2	KKG10590.1;KKG10589.1	300.5;830.5
KKG10590.1	GCA_000978955.1_gtlEnvA5udCFS	Methanosarcina mazei	Archaea	Euryarchaeota	COG0085	SECO	531	307.1	429	1	1	1
CBL29011.1	GCA_000210715.1_ASM21071v1	Fretibacterium fastidiosum	Bacteria	Synergistetes	COG0085	PRIMARY	1222	1969.3	1074	1	CBL29011.1	601.0
OLE41193.1	GCA_001920395.1_ASM192039v1	Thaumarchaeota archaeon 13_1_20CM_2_39_20	Archaea	TACK group	COG0085	PRIMARY	687	735.5	642	1	OLE41193.1	797.0
OGC77946.1	GCA_001773295.1_ASM177329v1	candidate division WWE3 bacterium RIFOXYD1_FULL_39_9	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1099	1551.4	1062	1	OGC77946.1	600.0
DFOW01000004.1_37	GCA_002376885.1_ASM237688v1	Patescibacteria group bacterium UBA3531	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1049	1775.1	1048	1	DFOW01000004.1_37	593.0
AGG06238.1	GCA_000341655.1_ASM34165v1	Dehalococcoides mccartyi DCMB5	Bacteria	Terrabacteria group	COG0085	PRIMARY	1273	2001.9	1086	1	AGG06238.1	608.0
EMA41652.1	GCA_000337895.1_ASM33789v1	Halobiforma nitratireducens JCM 10879	Archaea	Euryarchaeota	COG0085	MAIN	609	665.6	1051	2	EMA41653.1;EMA41652.1	291.5;817.5
EMA41653.1	GCA_000337895.1_ASM33789v1	Halobiforma nitratireducens JCM 10879	Archaea	Euryarchaeota	COG0085	SECO	523	300.7	447	1	1	1
ABQ87115.1	GCA_000016525.1_ASM1652v1	Methanobrevibacter smithii ATCC 35061	Archaea	Euryarchaeota	COG0085	MAIN	603	696.8	1047	2	ABQ87116.1;ABQ87115.1	296.5;816.0
ABQ87116.1	GCA_000016525.1_ASM1652v1	Methanobrevibacter smithii ATCC 35061	Archaea	Euryarchaeota	COG0085	SECO	514	314.9	449	1	1	1
AAT27767.1	GCA_000008365.1_ASM836v1	Mycoplasma mobile 163K	Bacteria	Terrabacteria group	COG0085	PRIMARY	1188	1667.1	1054	1	AAT27767.1	591.0
ACC72020.1	GCA_000020045.1_ASM2004v1	Paraburkholderia phymatum STM815	Bacteria	Proteobacteria	COG0085	PRIMARY	1368	2075.4	1053	1	ACC72020.1	589.5
AAN25011.1	GCA_000007525.1_ASM752v1	Bifidobacterium longum NCC2705	Bacteria	Terrabacteria group	COG0085	PRIMARY	1187	1998.3	1080	1	AAN25011.1	594.0
SHG45946.1	GCA_900129775.1_IMG-taxon_2695420988_annotated_assembly	Halobaculum gomorrense	Archaea	Euryarchaeota	COG0085	MAIN	609	660.8	1050	2	SHG45978.1;SHG45946.1	292.0;817.5
SHG45978.1	GCA_900129775.1_IMG-taxon_2695420988_annotated_assembly	Halobaculum gomorrense	Archaea	Euryarchaeota	COG0085	SECO	521	297.5	446	1	1	1
