	domain	phylum	category	COG0085_score	PF09723.9	PF06677.11	PF04561.13	PF04565.15	PF12760.6	PF01551.21	PF07697.10	PF13240.5	PF02132.14	PF14319.5	PF02318.15	PF11181.7	PF07295.10	PF12773.6	TIGR03831	PF07282.10	TIGR04165	PF10080.8	PF08792.9	PF08772.10	TIGR02605	TIGR02386	TIGR02384	PF04563.14	TIGR02388	PF04560.19	PF09297.10	TIGR02013	qlen	PF13597.5	PF00364.21	TIGR03670	PF14803.5	PF03604.12	PF04567.16	PF00562.27	PF08271.11	PF06883.11	PF10385.8	PF13375.5	PF04566.12	PF13248.5	PF13533.5
AAB85541.1	Archaea	Euryarchaeota	BH	1045	0	14.8	89.6	91.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.5	0	105.3	0	376.7	1122	0	0	1045.5	0	0	48.4	454.2	0	0	15.5	0	79.0	0	0
AAB89366.1	Archaea	Euryarchaeota	NH	688.1	0	0	0	0	0	0	0	0	11.5	0	0	15.8	0	0	12.9	0	0	0	0	0	0	0	0	0	0	114.7	0	243.9	604	0	0	1035.9	0	0	38.0	428.5	0	0	14.3	0	85.4	0	0
AAB89367.1	Archaea	Euryarchaeota	NH	340.1	0	0	103.4	94.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.1	0	0	0	105.1	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB99044.1	Archaea	Euryarchaeota	BH	1022	0	0	91.1	89.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.8	0	98.1	0	340.4	1134	0	0	1062.0	0	0	48.2	439.5	0	0	17.6	0	78.0	0	0
AAC07723.1	Bacteria	Aquificae	BH	1898.3	0	0	45.2	101.2	0	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.9	0	92.5	0	1586.5	1468	0	0	255.9	0	10.8	0	556.3	0	0	77.8	17.6	0	0	0
AAC65229.1	Bacteria	Spirochaetes	BH	1927.2	0	0	93.8	103.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.5	0	86.9	0	1816.4	1178	0	0	281.1	0	0	0	519.6	0	0	63.3	0	0	0	0
AAD35543.1	Bacteria	Thermotogae	BH	1847.8	0	0	33.1	100.4	0	12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.8	0	90.7	0	1436.4	1263	0	0	235.5	0	0	0	510.0	0	0	83.8	0	0	0	0
AAF10490.1	Bacteria	Terrabacteria group	BH	1849.3	0	0	43.3	100.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.4	0	91.5	0	1499.4	1179	0	6.3	270.7	0	0	0	522.6	0	0	100.4	14.4	0	0	0
AAF30594.1	Bacteria	Terrabacteria group	BH	1650	0	0	31.8	85.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.1	0	87.6	0	1280.4	1434	0	0	243.7	0	0	0	510.6	0	0	61.7	0	0	0	0
AAF39421.1	Bacteria	PVC group	BH	1996.8	0	0	78.1	104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.2	0	86.4	0	1884.2	1252	0	0	282.5	0	0	14.5	525.3	0	0	68.9	0	0	0	0
AAF40591.1	Bacteria	Proteobacteria	BH	2103	0	0	75.5	107.7	0	0	10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.5	16.7	94.2	0	1822.1	1394	0	0	240.9	0	0	0	527.3	0	0	87.8	0	0	0	0
AAF85430.1	Bacteria	Proteobacteria	BH	2070.1	0	0	81.1	94.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.2	0	94.8	0	1819.8	1388	0	0	243.6	0	0	0	531.7	0	0	85.1	0	0	0	0
AAF93501.1	Bacteria	Proteobacteria	BH	2123	0	0	94.8	100.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	196.7	0	95.6	0	1916.1	1375	0	0	235.8	0	0	0	528.1	0	0	87.9	0	0	0	0
AAG20693.1	Archaea	Euryarchaeota	BH	950.1	0	10.4	101.6	84.9	0	0	0	0	0	0	0	0	0	0	0	12.8	0	0	0	0	0	0	0	164.7	0	107.0	9.2	328.5	1131	0	0	1012.1	0	0	31.3	423.0	12.1	0	0	0	74.8	0	0
AAK22489.1	Bacteria	Proteobacteria	BH	2167.8	0	0	86.5	110.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.9	0	93.2	0	2022.8	1356	0	0	246.8	0	0	0	550.7	0	0	69.6	0	0	0	0
AAK40567.1	Archaea	TACK group	BH	1066	0	0	140.3	82.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.6	0	336.5	1129	0	0	1014.0	0	0	42.6	427.8	0	0	12.1	0	70.5	0	0
AAL02719.1	Bacteria	Proteobacteria	BH	2087.9	0	0	87.4	112.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.1	0	90.5	0	1819.2	1373	0	0	235.2	0	0	0	526.3	0	0	71.8	0	0	0	0
AAL81688.1	Archaea	Euryarchaeota	BH	1093	0	15.9	133.0	105.0	0	0	0	0	10.5	14.0	0	0	0	0	15.9	13.1	14.2	0	0	15.2	0	0	0	181.1	0	108.5	0	353.3	1117	9.9	0	1070.5	6.0	0	40.4	440.0	9.1	0	0	0	76.6	0	0
AAL94121.1	Bacteria	Fusobacteria	BH	1977.1	0	0	83.7	105.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1	0	81.9	0	88.3	0	1861.0	1184	0	0	291.6	0	0	0	539.1	0	0	70.1	0	0	0	0
AAM04683.1	Archaea	Euryarchaeota	BH	984.3	0	0	102.3	87.4	0	0	0	3.7	0	0	0	11.8	13.2	0	0	0	0	0	0	0	0	0	0	177.0	0	97.4	7.1	317.8	1154	0	0	1032.3	11.6	0	48.4	415.6	0	0	0	0	81.3	0	0
AAM25443.1	Bacteria	Terrabacteria group	BH	2276	0	0	122.1	110.1	0	12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3	0	101.7	0	99.4	0	1825.5	1234	0	10.3	292.2	0	0	0	575.2	0	0	104.4	13.7	0	0	12.6
AAM31968.1	Archaea	Euryarchaeota	BH	975	0	0	101.7	85.9	0	0	0	3.8	0	0	0	11.5	13.1	0	0	0	0	0	0	0	0	0	0	171.5	0	96.9	7.1	318.5	1135	0	0	1036.1	11.2	0	47.3	416.0	0	0	12.6	0	81.7	0	0
AAM84073.1	Bacteria	Proteobacteria	BH	2143.5	0	0	94.4	106.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1	195.8	0	96.5	0	1972.8	1342	0	0	254.4	0	0	0	538.2	0	0	95.5	0	0	0	0
AAN25011.1	Bacteria	Terrabacteria group	BH	1998.3	0	0	91.9	89.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.3	0	89.1	0	1664.6	1187	0	0	240.1	0	0	0	518.2	0	0	81.0	0	0	0	0
AAO09671.1	Bacteria	Proteobacteria	BH	2119	0	0	97.2	100.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.1	0	95.6	0	1915.3	1342	0	0	235.5	0	0	0	528.0	0	0	88.3	0	0	0	0
AAO44168.1	Bacteria	Terrabacteria group	BH	1960.6	0	0	89.2	97.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.6	0	89.7	0	1639.6	1188	0	0	244.6	0	0	0	498.0	0	0	90.6	0	0	0	0
AAP05433.1	Bacteria	PVC group	BH	2002.5	0	0	79.2	104.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.0	0	86.7	0	1865.0	1252	0	0	282.8	0	0	0	524.9	0	0	68.8	0	0	0	0
AAP98014.1	Bacteria	PVC group	BH	1995.3	0	0	79.9	104.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.7	0	86.0	0	1852.2	1252	0	0	281.4	0	0	0	522.6	0	0	68.3	0	0	0	0
AAQ00684.1	Bacteria	Terrabacteria group	BH	1974.7	0	0	159.9	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.9	0	87.2	0	1672.7	1096	0	0	243.8	0	0	0	519.1	0	0	52.0	0	0	0	0
AAR36255.1	Bacteria	Proteobacteria	BH	2193.6	0	0	114.8	105.9	0	11.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	0	120.2	0	89.8	0	1913.7	1370	0	13.6	252.4	0	0	0	554.0	0	0	79.3	13.4	0	0	12.4
AAS12939.1	Bacteria	Spirochaetes	BH	1925.5	0	0	78.6	102.4	0	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.0	0	84.8	0	1722.8	1167	0	0	274.6	0	0	0	520.2	0	0	67.4	14.5	0	0	0
AAS69370.1	Bacteria	Spirochaetes	BH	2007.4	0	0	72.5	103.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	0	96.1	0	85.3	0	1681.7	1226	0	0	251.7	0	0	0	500.4	0	0	70.8	0	0	0	0
AAT27767.1	Bacteria	Terrabacteria group	BH	1667.1	0	0	62.3	103.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.0	0	77.1	0	1326.7	1188	0	0	272.8	0	0	0	492.8	0	0	54.6	0	0	0	0
AAT42844.1	Archaea	Euryarchaeota	BH	1031.1	0	0	86.0	88.5	12.4	0	0	0	0	0	0	0	0	0	0	14.7	0	0	0	0	0	0	0	111.9	0	89.5	0	361.2	1194	0	0	1048.3	0	0	47.1	430.4	11.4	0	0	0	76.5	9.6	0
AAT75956.1	Bacteria	Terrabacteria group	BH	1858.8	0	0	67.0	103.4	0	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.5	28.7	84.6	0	1442.1	1284	0	11.9	264.6	0	0	0	508.3	0	0	58.4	0	0	0	0
AAV28003.1	Bacteria	Terrabacteria group	BH	1656.4	0	0	46.9	94.7	0	16.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.8	0	74.0	0	1290.0	1220	0	11.1	260.7	0	0	0	497.3	0	0	46.8	14.1	0	0	0
AAV47240.1	Archaea	Euryarchaeota	BH	956	0	9.7	93.9	84.9	0	0	0	0	0	0	0	0	0	11.6	0	13.9	0	0	0	13.1	0	0	0	165.4	0	105.1	9.6	328.5	1129	0	0	1029.6	0	0	30.8	425.3	0	0	0	0	75.2	0	0
AAV89355.1	Bacteria	Proteobacteria	BH	2192.4	0	0	95.1	109.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.4	0	93.8	0	1930.2	1401	0	0	246.0	0	0	0	555.1	0	0	91.2	0	0	0	0
AAW40097.1	Bacteria	Terrabacteria group	BH	2004.4	0	0	112.7	102.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.1	0	92.5	0	1590.6	1272	0	0	257.6	0	0	0	569.5	0	0	77.3	0	0	0	0
AAW90472.1	Bacteria	Proteobacteria	BH	2099.9	0	0	75.4	107.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.2	0	94.3	0	1823.3	1392	0	0	239.0	0	0	0	526.5	0	0	87.8	0	0	0	0
AAX16898.1	Bacteria	Spirochaetes	BH	1939.2	0	0	89.7	106.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.5	0	83.6	0	1663.0	1155	0	0	282.5	0	0	0	520.7	0	0	80.1	0	0	0	20.2
AAY80073.1	Archaea	TACK group	BH	1038.6	0	0	150.6	87.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.8	0	101.9	0	326.1	1126	0	0	1034.4	0	0	39.7	423.0	0	0	0	0	78.5	0	0
AAZ43894.2	Bacteria	Terrabacteria group	BH	1619.9	0	0	41.5	99.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.0	0	77.3	0	1258.6	1202	0	15.5	278.3	0	0	0	503.2	0	0	39.2	0	0	0	7.6
AAZ44702.1	Bacteria	Terrabacteria group	BH	1659.7	0	0	46.9	94.7	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.9	0	74.0	0	1291.2	1220	0	11.1	260.1	0	0	0	499.2	0	0	46.8	16.5	0	0	0
AAZ53980.1	Bacteria	Terrabacteria group	BH	1657.9	0	0	46.9	94.7	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.9	0	74.0	0	1290.3	1220	0	11.1	261.0	0	0	0	497.8	0	0	46.8	16.5	0	0	0
AAZ62549.1	Bacteria	Proteobacteria	BH	2073.5	0	0	85.4	110.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.1	0	123.9	22.7	93.3	0	1829.7	1368	0	0	232.2	0	0	0	529.1	0	0	79.2	0	0	0	0
AAZ72556.1	Archaea	Euryarchaeota	BH	984.9	0	0	100.4	85.9	0	0	0	0	0	0	0	0	13.1	0	0	0	0	0	0	0	0	0	0	177.1	0	97.8	7.6	321.4	1135	0	0	1041.1	0	0	48.9	417.1	0	0	14.8	0	82.0	0	0
ABA23806.1	Bacteria	Terrabacteria group	BH	2024.2	0	0	183.8	103.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.0	0	88.4	0	1743.6	1117	0	0	259.8	0	0	0	531.4	0	0	66.6	0	0	0	0
ABB74066.1	Bacteria	Proteobacteria	BH	2108.5	0	0	92.2	110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8	0	132.5	18.2	89.7	0	1855.7	1357	0	0	242.7	0	0	0	543.4	0	0	88.2	13.2	0	0	0
ABC45879.1	Bacteria	FCB group	BH	1985.5	0	0	119.0	96.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.1	0	85.6	0	1809.2	1335	0	0	261.0	0	0	14.9	538.0	0	0	91.4	0	0	0	0
ABC57750.1	Archaea	Euryarchaeota	BH	1002.1	0	0	86.3	86.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.5	0	101.4	0	366.6	1105	0	0	1036.6	0	0	41.7	439.8	0	0	13.9	0	67.2	0	0
ABC65578.1	Bacteria	Terrabacteria group	BH	1815.7	0	0	90.1	98.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.2	0	88.4	0	1456.4	1273	0	0	295.7	0	0	0	498.3	0	0	56.6	0	0	0	0
ABD39829.1	Archaea	Euryarchaeota	BH	963.4	0	13.7	62.4	91.2	0	0	0	0	0	0	0	0	10.3	0	0	0	0	0	0	0	0	0	0	170.6	0	104.6	0	336.2	1124	0	0	967.7	0	13.9	32.8	422.5	11.1	0	0	0	67.7	0	0
ABE52101.1	Archaea	Euryarchaeota	BH	962.5	0	0	82.0	91.2	0	0	0	0	0	0	0	0	18.7	0	0	0	0	0	0	0	0	0	0	185.0	0	103.3	14.5	314.9	1146	0	0	979.8	12.8	0	39.1	403.9	0	0	0	0	61.4	0	0
ABF10206.1	Bacteria	Proteobacteria	BH	2076.8	0	0	84.7	110.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5	0	124.5	25.5	93.3	0	1828.5	1368	0	0	231.7	0	0	0	528.5	0	0	79.6	0	0	0	0
ABF13801.1	Bacteria	Proteobacteria	BH	2103.7	0	0	94.5	106.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	169.3	0	93.9	0	1906.0	1340	0	0	246.0	0	0	0	532.3	0	0	87.2	0	0	0	0
ABF43676.1	Bacteria	Acidobacteria	BH	2114.3	0	9.4	86.3	109.0	0	0	0	5.5	0	0	0	0	0	14.2	0	0	0	0	0	0	0	16.1	0	106.3	0	92.9	0	1817.1	1489	0	12.4	259.4	6.8	0	0	553.7	12.3	0	63.0	17.0	0	3.2	17.4
ABI85819.1	Bacteria	Proteobacteria	BH	2077.8	0	0	86.0	110.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.2	0	124.9	25.0	90.8	0	1832.6	1368	0	0	236.7	0	0	0	525.4	0	0	86.7	12.3	0	0	0
ABIZ01000001.1_5335	Bacteria	PVC group	BH	2005.8	0	0	91.6	108.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.1	0	91.7	0	1753.2	1283	0	0	264.4	0	0	0	514.8	0	0	89.7	0	0	0	16.6
ABIZ01000001.1_6050	Bacteria	PVC group	NH	9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABJ90504.1	Bacteria	Proteobacteria	BH	2054.7	0	0	79.7	103.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.3	0	97.2	0	1859.7	1343	0	0	242.8	0	0	0	512.2	0	0	81.9	0	0	0	0
ABK78187.1	Archaea	TACK group	BH	963.1	0	0	78.2	98.4	0	0	0	0	0	0	13.8	0	0	0	0	11.6	0	0	0	0	0	0	0	160.7	0	111.9	0	341.9	1115	0	0	874.9	0	0	32.7	408.9	0	0	0	0	65.7	0	0
ABL64300.1	Bacteria	FCB group	BH	1964.1	0	0	85.0	103.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.0	0	90.7	0	1878.6	1312	0	0	271.1	0	0	0	531.9	0	0	59.6	0	0	0	0
ABL77696.1	Archaea	TACK group	BH	1022.5	0	0	113.8	100.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.5	0	104.3	0	360.1	1130	0	0	1005.1	0	0	42.4	405.3	0	0	13.1	0	81.9	0	0
ABL87881.1	Archaea	TACK group	BH	1070.2	0	0	100.4	93.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.4	0	96.9	0	368.4	1127	0	0	1009.7	0	0	39.3	445.9	0	0	14.4	0	76.0	0	0
ABM81394.1	Archaea	TACK group	BH	1093.6	0	0	106.4	101.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.8	0	103.2	0	363.0	1138	0	0	1056.9	0	0	44.5	445.2	0	0	0	0	83.4	0	0
ABN07331.1	Archaea	Euryarchaeota	BH	947.2	0	0	64.4	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.4	0	105.2	0	313.9	1153	0	0	934.9	0	0	32.7	439.0	0	0	0	0	71.5	0	0
ABN56232.1	Archaea	Euryarchaeota	NH	291.7	0	0	63.4	91.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.8	0	0	0	103.8	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABN56233.1	Archaea	Euryarchaeota	NH	664.3	0	13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.3	0	234.7	604	0	0	983.9	0	0	32.2	428.5	0	0	0	0	77.4	0	0
ABN56246.1	Archaea	Euryarchaeota	BH	956	0	12.5	61.0	90.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.1	0	105.3	0	328.1	1117	0	0	980.9	0	0	33.7	426.7	0	0	0	0	76.6	0	0
ABN69903.1	Archaea	TACK group	BH	1071.8	0	0	103.6	98.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.7	0	105.6	0	343.9	1156	0	0	1025.4	0	0	40.4	449.3	0	0	14.3	0	80.0	0	0
ABO34532.1	Archaea	Euryarchaeota	BH	1008.7	9.2	0	99.1	95.3	0	0	0	0	0	13.2	0	0	0	12.3	0	0	0	0	0	0	0	0	0	179.7	0	97.2	0	342.5	1110	0	0	998.8	11.0	0	42.3	420.8	12.5	0	14.6	0	75.6	7.8	0
